,price,month,green_Tot,other_patents
1,NA,1/01/1990,327,8026
2,NA,1/02/1990,508,9818
3,NA,1/03/1990,651,11070
4,NA,1/04/1990,480,9634
5,NA,1/05/1990,560,9670
6,NA,1/06/1990,537,10003
7,NA,1/07/1990,639,10268
8,NA,1/08/1990,473,8170
9,NA,1/09/1990,434,8372
10,NA,1/10/1990,600,9434
11,NA,1/11/1990,539,9162
12,NA,1/12/1990,683,10737
13,NA,1/01/1991,388,8007
14,NA,1/02/1991,575,8910
15,NA,1/03/1991,636,10383
16,NA,1/04/1991,498,9741
17,NA,1/05/1991,589,9696
18,NA,1/06/1991,651,10417
19,NA,1/07/1991,693,10604
20,NA,1/08/1991,636,8001
21,NA,1/09/1991,475,9396
22,NA,1/10/1991,618,10062
23,NA,1/11/1991,595,9959
24,NA,1/12/1991,694,11002
25,NA,1/01/1992,449,8375
26,NA,1/02/1992,610,9784
27,NA,1/03/1992,757,11890
28,NA,1/04/1992,746,12338
29,NA,1/05/1992,643,10767
30,NA,1/06/1992,716,12199
31,NA,1/07/1992,842,13599
32,NA,1/08/1992,647,9998
33,NA,1/09/1992,674,12189
34,NA,1/10/1992,975,12582
35,NA,1/11/1992,830,12604
36,NA,1/12/1992,975,15207
37,NA,1/01/1993,652,9586
38,NA,1/02/1993,619,12516
39,NA,1/03/1993,1014,15823
40,NA,1/04/1993,771,14404
41,NA,1/05/1993,702,15176
42,NA,1/06/1993,1065,15478
43,NA,1/07/1993,1027,16403
44,NA,1/08/1993,713,11668
45,NA,1/09/1993,879,15706
46,NA,1/10/1993,755,13785
47,NA,1/11/1993,805,14279
48,NA,1/12/1993,1208,18131
49,NA,1/01/1994,543,11508
50,NA,1/02/1994,814,14583
51,NA,1/03/1994,1098,18582
52,NA,1/04/1994,833,15374
53,NA,1/05/1994,758,16019
54,NA,1/06/1994,1016,16816
55,NA,1/07/1994,785,16339
56,NA,1/08/1994,697,13775
57,NA,1/09/1994,867,16095
58,NA,1/10/1994,793,15746
59,NA,1/11/1994,790,16719
60,NA,1/12/1994,1218,18420
61,NA,1/01/1995,747,12663
62,NA,1/02/1995,774,16401
63,NA,1/03/1995,1074,19909
64,NA,1/04/1995,965,15571
65,NA,1/05/1995,942,17989
66,NA,1/06/1995,1126,17841
67,NA,1/07/1995,957,16771
68,NA,1/08/1995,876,14385
69,NA,1/09/1995,912,17292
70,NA,1/10/1995,957,16950
71,NA,1/11/1995,863,17171
72,NA,1/12/1995,1076,19331
73,NA,1/01/1996,724,14290
74,NA,1/02/1996,1036,18264
75,NA,1/03/1996,1042,20381
76,NA,1/04/1996,1065,18656
77,NA,1/05/1996,986,19353
78,NA,1/06/1996,1038,18357
79,NA,1/07/1996,1057,20035
80,NA,1/08/1996,925,15612
81,NA,1/09/1996,1024,18611
82,NA,1/10/1996,1262,18583
83,NA,1/11/1996,1109,18442
84,NA,1/12/1996,1238,22486
85,NA,1/01/1997,742,15031
86,NA,1/02/1997,900,18939
87,NA,1/03/1997,1188,20049
88,NA,1/04/1997,1012,21268
89,NA,1/05/1997,852,18780
90,NA,1/06/1997,1158,20666
91,NA,1/07/1997,1241,21837
92,NA,1/08/1997,1022,16794
93,NA,1/09/1997,1102,20384
94,NA,1/10/1997,1091,19616
95,NA,1/11/1997,1040,18896
96,NA,1/12/1997,1370,23656
97,NA,1/01/1998,953,14950
98,NA,1/02/1998,960,18485
99,NA,1/03/1998,1309,23555
100,NA,1/04/1998,1212,20524
101,NA,1/05/1998,1145,19784
102,NA,1/06/1998,1066,21184
103,NA,1/07/1998,1323,22876
104,NA,1/08/1998,1053,17039
105,NA,1/09/1998,1166,20520
