"","price","month","green_Tot","other_patents"
"1",NA,1990-01-01,51,1056
"2",NA,1990-02-01,62,1246
"3",NA,1990-03-01,79,1527
"4",NA,1990-04-01,70,1362
"5",NA,1990-05-01,78,1324
"6",NA,1990-06-01,76,1355
"7",NA,1990-07-01,106,1332
"8",NA,1990-08-01,65,1079
"9",NA,1990-09-01,89,1190
"10",NA,1990-10-01,81,1339
"11",NA,1990-11-01,75,1299
"12",NA,1990-12-01,105,1507
"13",NA,1991-01-01,60,1010
"14",NA,1991-02-01,96,1226
"15",NA,1991-03-01,72,1556
"16",NA,1991-04-01,78,1272
"17",NA,1991-05-01,89,1387
"18",NA,1991-06-01,90,1464
"19",NA,1991-07-01,107,1489
"20",NA,1991-08-01,98,1189
"21",NA,1991-09-01,77,1361
"22",NA,1991-10-01,106,1430
"23",NA,1991-11-01,97,1397
"24",NA,1991-12-01,95,1587
"25",NA,1992-01-01,62,1209
"26",NA,1992-02-01,98,1363
"27",NA,1992-03-01,130,1734
"28",NA,1992-04-01,96,1980
"29",NA,1992-05-01,99,1708
"30",NA,1992-06-01,132,1906
"31",NA,1992-07-01,161,2113
"32",NA,1992-08-01,104,1654
"33",NA,1992-09-01,110,1898
"34",NA,1992-10-01,183,1936
"35",NA,1992-11-01,153,1913
"36",NA,1992-12-01,191,2328
"37",NA,1993-01-01,104,1392
"38",NA,1993-02-01,86,1926
"39",NA,1993-03-01,152,2268
"40",NA,1993-04-01,134,2115
"41",NA,1993-05-01,118,2160
"42",NA,1993-06-01,202,2309
"43",NA,1993-07-01,166,2326
"44",NA,1993-08-01,98,1881
"45",NA,1993-09-01,165,2399
"46",NA,1993-10-01,133,2120
"47",NA,1993-11-01,149,2072
"48",NA,1993-12-01,226,2642
"49",NA,1994-01-01,94,1824
"50",NA,1994-02-01,145,2146
"51",NA,1994-03-01,201,2823
"52",NA,1994-04-01,126,2326
"53",NA,1994-05-01,118,2466
"54",NA,1994-06-01,173,2578
"55",NA,1994-07-01,149,2562
"56",NA,1994-08-01,100,2229
"57",NA,1994-09-01,150,2379
"58",NA,1994-10-01,145,2489
"59",NA,1994-11-01,109,2529
"60",NA,1994-12-01,225,2875
"61",NA,1995-01-01,151,1848
"62",NA,1995-02-01,138,2589
"63",NA,1995-03-01,150,3053
"64",NA,1995-04-01,164,2325
"65",NA,1995-05-01,139,2739
"66",NA,1995-06-01,175,2817
"67",NA,1995-07-01,154,2660
"68",NA,1995-08-01,168,2474
"69",NA,1995-09-01,156,2725
"70",NA,1995-10-01,149,2676
"71",NA,1995-11-01,141,2694
"72",NA,1995-12-01,168,3073
"73",NA,1996-01-01,120,2322
"74",NA,1996-02-01,236,2894
"75",NA,1996-03-01,173,3209
"76",NA,1996-04-01,191,3043
